"Age","Sex","ID","Height","Chest","Belly","Thigh","Knee","Calf","Ankle","Biceps","Wrist","Weight"
20,"f",324,156,81,66,54.8,34.7,34.5,21.4,26.8,15.2,54.6
28,"f",325,162.1,83.6,70.5,56.8,35.8,36.9,20.4,30.5,15.7,59.2
36,"f",326,173.4,79.4,62,53.6,33.5,33,19.4,24.7,14.5,52.7
22,"f",327,159.8,82.9,67.6,56.4,34.1,33.8,20.6,30.2,14.8,53.2
20,"f",328,170.5,83.2,65,62.2,38.6,37.4,20.6,27.2,14.8,64.5
22,"f",329,159.2,78.1,64,55.9,32.3,34.8,20.3,25.2,13.4,51.8
32,"f",330,157.5,82.4,70.5,61.4,35.6,30.5,20.1,27.2,14.6,56
40,"f",331,161.3,90,79.2,61.7,36,35.7,23.8,27.8,14.1,63.6
40,"f",332,162.6,92.4,71.1,55.3,34.3,36.6,20.7,29.6,15.6,63.2
40,"f",333,168.9,84,62.9,52.8,34.6,32.3,20.4,26.4,14.7,56.8
30,"f",334,162.6,84.5,61.6,51.6,32.4,32.9,20.3,27.4,14.6,50
28,"f",335,165.1,91.2,74.2,61.5,37.6,41.9,24.3,31.4,15.4,72.3
37,"f",336,166.4,81.1,65.5,53.3,34.2,33.4,21.5,26.8,14.5,55
40,"f",337,160,87.6,67.7,54.3,33,32.7,18.8,28.2,14.7,55.9
35,"f",338,170.2,88.2,72.1,62,34.6,35.6,23.5,27.3,14.7,69.1
27,"f",339,170.2,84.8,60.7,52.6,32.5,34.6,21.2,26.6,14.1,55.9
20,"f",340,158.8,84.3,69.2,53.9,35.5,33.1,21.9,27.9,15.1,55.5
24,"f",341,172.7,91,75.5,62.7,37.2,35.4,20.3,31.5,14.6,69.5
36,"f",342,167.6,90.5,85.6,64.3,35.5,38,21,31.3,14.6,76.4
27,"f",343,162.6,89.6,71.6,56.8,36.2,35.8,20.1,27.2,14.6,61.4
32,"f",344,167.6,89.3,75.5,57.8,37.3,37,22.5,30.3,15.1,65.9
21,"f",345,175.2,88.2,67.9,60.2,36.6,38.5,22.2,31,16,66.8
32,"f",346,172.1,83.5,71.2,52.4,33.7,32.1,21,25.2,15,56.6
35,"f",347,162.6,91,69.3,55.4,34.8,34.6,21.5,29.7,14.6,58.6
40,"f",348,165.1,82.2,63.8,59,35.9,35.5,22.6,27.8,15.4,59.1
29,"f",349,182.9,98.9,83.6,63,38.1,36.4,24.5,31.9,16,81.8
40,"f",350,166.4,97.9,84.9,59.9,37.6,33.7,21.6,32,15.5,70.7
24,"f",351,165.1,81.7,66,56.4,32.1,34.3,21,28,14.4,56.8
23,"f",352,177.8,86.1,68.3,55.1,33.9,33.7,21.8,26,15,60
19,"f",353,158.8,81.6,58.8,51.6,33.8,32.4,21,25.4,14.8,49.1
24,"f",354,172.7,92.3,78,65.5,38.5,39.7,22.8,31.7,15.6,75.9
25,"f",355,168.9,81.3,64.5,53.4,34.6,32.7,21.4,25.1,14.6,55
20,"f",356,161.3,82.2,65.8,55.4,33.6,35,19.7,28.4,14.8,57.3
34,"f",357,167.6,78.6,62.5,57.3,35.1,35.7,20.4,27.4,14.8,55
32,"f",358,165.1,94.3,77.5,61.6,36.5,34.6,21.9,28.3,14.7,65.5
24,"f",359,175.3,89.5,70,55,35.6,36.6,22.5,29.3,16.4,65.5
29,"f",360,157.5,81,59.4,50.2,31.7,30.7,20.5,26.9,15.2,48.6
31,"f",361,163.8,85.4,68.3,57.3,32.7,34.3,21.7,29.8,15.4,58.6
34,"f",362,167.6,86.2,77.9,60.7,34.7,34.5,20.9,28.4,14.9,63.6
36,"f",363,165.1,85.3,68.3,54.7,32.7,33,19.6,27.7,14.9,55.2
32,"f",364,165.1,86.1,72,57.5,36.3,37.9,23.4,27.4,14.5,62.7
39,"f",365,168.9,84.5,62.7,52.5,32.8,36.1,22,24.2,14.8,56.6
37,"f",366,162.6,72.6,58,52.5,35.5,36.4,20.3,23.1,13,53.9
24,"f",367,176.5,95.8,85.4,68.3,40.3,37,22.4,29.7,15.3,73.6
33,"f",368,168.9,85.5,67.3,58.8,38.3,35.6,21,27.2,14.6,62
34,"f",369,159.4,85.4,67.4,54.7,32.8,29.5,18.7,26.9,13.7,53.2
37,"f",370,160,79.1,66,57.4,32.2,32.6,19.2,26.8,14.6,53.4
39,"f",371,170.2,84.4,63.6,54.4,33.5,33.6,20.2,26.7,14.6,55
36,"f",372,167.6,82.9,73.6,52.9,31.6,30.2,19.3,25,13.6,54.5
19,"f",373,162.6,87.3,66.9,54.4,33.9,33.9,20.8,28.9,15.5,54.5
22,"f",374,160.7,85.3,65.5,56.4,33.1,35,20.7,27.3,14.2,55.9
23,"f",375,160,87.3,70.4,55.6,35.3,33.8,23,29.9,16.3,59
36,"f",376,157.5,93.2,80.3,61.2,34.6,35.6,20,31,14.3,63.6
25,"f",377,152.4,78,60.4,49.5,33.2,31.5,18.8,26.8,14.7,47.3
26,"f",378,165.1,95,83.4,67.4,40.9,41.2,23.4,34.2,15.6,80.9
21,"f",379,172.7,88.7,72.2,61.1,39.1,38.7,26,29.5,15.5,70.5
33,"f",380,165.1,86.6,70.1,55.6,34.9,32,21.1,27.6,15.3,60.9
25,"f",381,170.2,82.5,69.8,59,33.5,33.1,19.6,26.7,14.2,63.6
24,"f",382,170.2,81.4,66.4,54.6,33,34.3,20.2,24.2,15,54.5
21,"f",383,170.2,79.9,61.7,56.5,36.7,36.2,22,25.5,14.8,59.1
35,"f",384,161.3,91.1,76.4,64.5,36.5,36.2,23.9,32.8,15.5,70.5
27,"f",385,167.6,80.1,63.8,51.5,32,32.6,21,24.4,14,52.7
27,"f",386,167.6,86.4,70.2,58.5,35.5,36.3,21.4,28.3,15.3,62.7
26,"f",387,165.1,105.2,88.2,63.1,39.2,38.4,23.1,30.3,16.4,86.3
25,"f",388,162.6,91.1,75.8,60.5,36.8,35.9,21.8,30.4,15.5,66.4
29,"f",389,168.9,80.5,67.4,56.3,36.2,36.7,23.7,27,15.9,63
26,"f",390,170.2,90.4,78.3,63.1,39.4,39.1,23,32.8,16.5,73.6
23,"f",391,175.2,84.1,65.9,57,35.6,34,21.7,26.6,15.1,62.3
32,"f",392,175.2,84.2,62.4,53.2,34.5,31,19.2,25.8,14.7,57.7
32,"f",393,160,82.5,65.6,56.2,33,34.6,21.7,28.8,15.8,55.4
32,"f",394,174,79.9,62.5,51.6,31.7,34.7,18.5,25.7,13.9,55.5
33,"f",395,160,96.3,86.1,69.4,39.4,38.7,23.7,31.7,16.3,80.5
28,"f",396,167.6,86.8,71.3,59.2,35.9,34.4,21.2,31.1,14.2,64.5
28,"f",397,167.6,95.3,79.4,63,38.7,36.3,21.3,29.9,15.5,72.3
25,"f",398,167.6,93,72.3,54.7,35,34.2,20.5,28.8,14.8,61.4
38,"f",399,154.9,86.4,67.4,59.1,35.6,37.4,22.5,29.3,14.4,58.2
37,"f",400,162.6,109,94.2,57.8,34.8,35.5,19.5,35.7,15,81.8
25,"f",401,175.3,86.2,67,56.2,37,33,21.6,27,15,63.6
37,"f",402,171.4,85.3,69.5,51.7,33.9,30.8,19.9,24.4,14.1,53.4
27,"f",403,157.5,84.2,66.4,53.4,32.5,31.7,21.7,24.9,13.4,54.5
27,"f",404,165.1,83.7,67.6,52.4,34.5,32.5,21.7,25.6,14.6,53.6
20,"f",405,160,86.5,66.6,59.3,36,34.9,21.4,27.3,14.6,60
19,"f",406,174,98.2,69.7,59.1,37.7,37.7,23.7,29.9,16.2,73.6
32,"f",407,162.6,88,72,57.3,35.2,31.9,19.6,27.6,15.4,61.4
26,"f",408,174,80.4,64.5,52.4,34.5,32.7,20.3,25.5,14.9,55.5
23,"f",409,161.3,86.4,69.1,59.5,35.6,34.6,23,28.3,16.6,60.9
19,"f",410,156.2,87.6,74.7,57,34.4,32.7,20.9,28.1,15.2,60
31,"f",411,149.9,80.9,60.8,51,34.4,33.1,21,26.8,15.4,46.8
34,"f",412,169.5,82.1,66.9,53.4,35,35.2,22.4,26.2,15.2,57.3
34,"f",413,160,89.3,68.8,63,34.4,35,21,29.6,15.9,64.1
24,"f",414,175.3,85.3,63.7,55.5,36.5,34.1,21.3,26.4,15,63.6
22,"f",415,169.5,89,71.2,56.1,37,37.5,22.6,30.2,15.7,67.3
34,"f",416,160,94.1,79.6,66.5,40.3,37.9,24.6,36.9,16.4,75.5
30,"f",417,172.7,90.8,77.9,56.2,38.2,36.6,22.3,28.1,15.4,68.2
32,"f",418,162.6,97,69.6,56.3,32.3,33.8,20.8,32,15.9,61.4
40,"f",419,157.5,95.4,86,64.4,35.7,37,21.4,32.3,15.8,76.8
29,"f",420,176.5,91.8,69.9,60.6,37.7,37.9,22.4,30.3,15.4,71.8
21,"f",421,164.4,87.3,63.5,55.2,35.6,33.3,22.4,30.1,15.2,55.5
33,"f",422,160.7,78.1,57.9,51.8,34.4,34.1,21.2,27.4,15.5,48.6
33,"f",423,174,90.9,72.2,59,38.4,36.6,22,30.6,15.5,66.4
38,"f",424,163.8,97.1,80.4,57.4,39.6,35.9,23,33.2,16.4,67.3
